Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Dic;General;Baja;Otros;Público;BTCGCD36 (BT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;9,72;1.277,52
Dic;General;Baja;Otros;Público;BTCGCD39 (BT / Servicio Comunitario con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;Residencial;Baja;Residencial;Público;BTCRSD01 (BT / Residencial);1;0,06;6,62;533;62,77;7.017,70;559;140,30;14.815,74;189;52,34;7.005,47;214;23,99;2.774,83;8;0,07;-1.255,92;269;60,65;6.349,98;112;23,36;2.509,49;137;16,19;1.769,22;111;14,18;1.560,01;0;0,00;0,00
Dic;General;Baja;Otros;Público;BTCGCD41 (BT / Vehículos Eléctricos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD05 (MT / Abonados Especiales con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD06 (MT / Abonados Especiales con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD07 (MT / Asistencia Social con Demanda);14;101,52;8.195,29;18;20,08;1.796,82;18;138,37;10.928,47;29;411,65;29.639,46;27;377,03;28.569,47;26;277,61;20.884,20;57;168,90;13.453,60;13;237,09;17.245,69;12;340,10;24.691,85;15;129,42;9.814,05;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD08 (MT / Asistencia Social con Demanda Horaria);0;0,00;0,00;38;1.352,14;91.571,51;7;753,28;50.216,67;20;6.026,72;365.527,41;4;574,17;38.081,24;3;442,26;30.067,85;33;2.826,17;187.001,45;1;218,48;14.368,48;0;0,00;0,00;10;662,54;44.857,85;7;210,77;14.498,44
Dic;General;Media;Otros;Público;MTCGCD09 (MT / Beneficio Público con Demanda);35;110,86;8.826,45;37;57,28;4.625,19;52;265,86;22.138,03;58;1.263,52;89.794,29;62;469,13;38.247,89;27;92,76;7.717,07;217;457,97;39.173,64;16;116,77;9.507,57;19;86,39;6.689,35;33;176,88;13.618,19;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD10 (MT / Beneficio Público con Demanda Horaria);0;0,00;0,00;45;460,80;34.692,61;5;42,42;3.280,07;21;2.283,59;145.211,02;4;47,11;3.337,82;1;36,97;2.680,67;21;920,16;67.112,64;0;0,00;0,00;0;0,00;0,00;3;44,20;3.450,66;10;103,12;7.165,75
Dic;General;Media;Otros;Público;MTCGCD30 (MT / Bombeo de agua comunidades campesinas);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;0,46;19,92;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;2;13,29;532,92;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD11 (MT / Bombeo de Agua con Demanda);0;0,00;0,00;2;0,12;62,41;31;150,00;16.020,91;0;0,00;0,00;183;1.153,06;99.223,28;63;829,12;65.531,95;46;70,00;6.753,65;49;1.473,32;104.984,54;7;36,77;3.092,36;34;275,11;21.299,67;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD12 (MT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;1;2,90;344,80;4;173,05;14.542,47;0;0,00;0,00;8;50,80;5.211,06;0;0,00;0,00;50;479,22;39.702,95;1;28,29;1.917,19;7;1.837,46;125.959,06;0;0,00;0,00;3;33,01;2.563,69
Dic;General;Media;Comercial;Público;MTCGCD01 (MT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;7;15,55;1.814,24;7;79,71;8.471,35;12;79,42;9.502,32;4;3,22;581,24;23;297,12;32.684,62;21;214,66;25.337,30;0;0,00;0,00;2;9,91;1.087,66;0;0,00;0,00
Dic;General;Media;Comercial;Público;MTCGCD02 (MT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;3,92;374,71;0;0,00;0,00;8;186,36;18.629,98;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD13 (MT / Entidades Oficiales Con Demanda);96;200,22;18.338,66;207;300,10;28.232,72;171;1.144,53;106.390,88;177;3.522,16;268.407,82;321;1.976,45;182.992,15;135;662,28;62.508,36;513;1.675,06;154.197,54;37;474,80;42.015,85;173;1.406,72;131.856,12;119;657,87;60.483,66;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD14 (MT / Entidades Oficiales Con Demanda Horaria);0;0,00;0,00;158;1.583,88;134.290,23;14;531,46;43.339,89;126;7.380,00;506.311,59;9;155,53;13.802,69;6;114,46;9.006,18;120;2.740,23;216.563,67;1;131,36;10.904,62;2;227,25;17.789,93;39;2.116,34;160.971,53;31;1.171,48;95.652,84
Dic;General;Media;Otros;Público;MTCGCD15 (MT / Escenarios Deportivos con Demanda);0;0,00;0,00;5;0,45;125,16;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;5;13,87;1.437,00;5;1,16;290,90;0;0,00;0,00;7;3,01;721,68;1;4,84;464,94;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD16 (MT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;30,10;2.567,14;0;0,00;0,00;0;0,00;0,00;6;41,61;3.244,53;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD25 (MT / Estación de Carga Rápida con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;65,01;4.121,52;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Otros;Público;MTCGCD31 (MT / Estacionales y Ocasionales);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Dic;General;Media;Industrial;Público;MTCGCD03 (MT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;1;1,45;461,98;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;257,46;26.811,68;0;0,00;0,00;0;0,00;0,00
