Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Sep;General;Media;Comercial;Público;MTCGCD02 (MT / Comercial con Demanda Horaria);0;0,00;0,00;2;17,42;1.944,40;0;0,00;0,00;0;0,00;0,00;1;3,84;383,78;1;0,00;1,41;8;173,37;17.529,87;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Sep;General;Media;Otros;Público;MTCGCD13 (MT / Entidades Oficiales Con Demanda);96;200,49;18.378,45;206;352,00;32.066,91;172;1.442,61;130.659,01;178;3.384,34;256.886,67;321;1.959,23;182.448,69;134;692,31;63.819,51;511;1.660,82;154.094,98;36;473,62;40.946,34;172;1.525,87;139.862,53;118;667,04;60.373,62;0;0,00;0,00
Sep;General;Media;Otros;Público;MTCGCD14 (MT / Entidades Oficiales Con Demanda Horaria);0;0,00;0,00;154;1.670,17;141.063,26;12;522,64;42.686,11;128;7.300,49;500.699,84;9;164,75;14.439,64;6;132,84;10.287,69;119;2.575,64;205.899,00;1;143,69;11.652,83;2;204,79;16.353,52;39;1.915,42;147.294,16;31;1.367,42;109.318,18
Sep;General;Media;Otros;Público;MTCGCD15 (MT / Escenarios Deportivos con Demanda);0;0,00;0,00;5;0,99;170,95;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;6;18,20;1.788,88;5;1,70;294,60;0;0,00;0,00;6;3,55;614,91;1;4,62;449,04;0;0,00;0,00
Sep;General;Media;Otros;Público;MTCGCD16 (MT / Escenarios Deportivos con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;29,40;2.604,33;0;0,00;0,00;0;0,00;0,00;6;44,39;3.643,95;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Sep;General;Media;Otros;Público;MTCGCD25 (MT / Estación de Carga Rápida con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;61,73;4.190,89;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Sep;General;Media;Otros;Público;MTCGCD31 (MT / Estacionales y Ocasionales);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
Sep;General;Media;Industrial;Público;MTCGCD03 (MT / Industrial con Demanda);0;0,00;0,00;0;0,00;0,00;1;1,71;477,98;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;353,31;45.088,21;0;0,00;0,00;0;0,00;0,00
Sep;General;Media;Industrial;Público;MTCGCD32 (MT / Industrial con Demanda Horaria Diferenciada);0;0,00;0,00;0;0,00;0,00;2;112,12;10.161,81;0;0,00;0,00;0;0,00;0,00;1;0,00;5,99;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;1;156,10;12.378,09
Sep;General;NO APLICA;Industrial;Público;REFACTIN (Industrial / Refacturaciones y Reliquidaciones);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
