Mes;Categoria;Voltaje;Grupo_consumo;Tipo_consumo;Tarifa;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
Nov;General;Baja;Otros;Público;BTCGCD21 (BT / Bombeo de Agua Comunidades Campesinas);0;0,00;0,00;5;10,08;406,63;2;3,75;151,20;0;0,00;0,00;14;12,95;527,96;1;8,41;337,14;10;6,65;273,04;9;11,92;482,96;0;0,00;0,00;9;15,15;612,10;53;37,49;1.536,62
Nov;General;Baja;Otros;Público;BTCGCD06 (BT / Bombeo de Agua con Demanda);7;3,25;413,31;0;0,00;0,00;13;15,56;1.395,62;8;49,82;4.551,59;45;72,97;6.555,92;0;0,00;0,00;0;0,00;0,00;18;121,29;10.371,04;0;0,00;0,00;1;0,33;63,04;24;14,93;1.201,86
Nov;General;Baja;Otros;Público;BTCGCD34 (BT / Bombeo de Agua con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;4;0,01;57,34;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;16;42,99;3.954,70
Nov;General;Baja;Otros;Público;BTCGSD14 (BT / Bombeo de Agua para Servicio Público de Agua);0;0,00;0,00;16;21,09;1.388,64;3;1,71;111,66;29;22,05;1.442,23;3;0,81;54,64;11;24,02;1.512,92;0;0,00;0,00;0;0,00;0,00;25;37,65;2.478,40;14;11,58;760,36;0;0,00;0,00
Nov;General;Baja;Otros;Público;BTCGCD40 (BT / Bombeo de Agua para Servicio Público de Agua con Demanda Horaria);0;0,00;0,00;5;6,47;401,64;0;0,00;0,00;14;80,70;5.209,98;0;0,00;0,00;0;0,00;0,00;1;3,43;269,12;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;79;667,66;42.911,79
Nov;General;Baja;Comercial;Público;BTCGSD01 (BT / Comercial);0;0,00;0,00;19;6,72;688,77;225;127,89;13.028,28;57;47,60;4.944,30;11;3,92;395,82;9;5,21;525,56;23;13,12;1.340,96;318;69,91;7.377,62;1;1,14;115,74;72;18,75;1.928,12;10;2,84;288,99
Nov;General;Baja;Comercial;Público;BTCGCD01 (BT / Comercial con Demanda);0;0,00;0,00;0;0,00;0,00;2;0,47;107,39;5;28,73;3.321,74;7;32,49;3.711,19;1;2,60;327,10;0;0,00;0,00;2;10,30;1.273,22;0;0,00;0,00;0;0,00;0,00;3;7,03;766,46
Nov;General;Baja;Comercial;Público;BTCGCD31 (BT / Comercial con Demanda Horaria);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;3;10,48;999,64
Nov;General;Baja;Otros;Público;BTCGSD09 (BT / Culto Religioso);0;0,00;0,00;1;0,01;1,68;4;0,05;7,37;0;0,00;0,00;0;0,00;0,00;1;0,54;27,14;2;0,90;43,13;3;0,47;20,89;2;0,37;17,84;1;0,47;22,73;8;0,32;22,12
Nov;General;Baja;Otros;Público;BTCGCD32 (BT / Culto Religioso con Demanda);0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00;0;0,00;0,00
