region,fecha,consumo
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,37.58
BOL,2024-08-01,2.58
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,49.93
BOL,2024-08-01,2.44
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,2.69
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.02
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,104.07
BOL,2024-08-01,37.59
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.14
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,103.73
BOL,2024-08-01,0.0
BOL,2024-08-01,93.19
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,181.14
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,966.91
BOL,2024-08-01,27.47
BOL,2024-08-01,0.0
BOL,2024-08-01,23.81
BOL,2024-08-01,0.05
BOL,2024-08-01,2.24
BOL,2024-08-01,16.21
BOL,2024-08-01,2.25
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,397.41
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.66
BOL,2024-08-01,2.78
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.96
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,345.19
BOL,2024-08-01,0.0
BOL,2024-08-01,1.24
BOL,2024-08-01,0.41
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,31.79
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-08-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-12-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
BOL,2024-06-01,0.0
